"state","year","income"
"Wisconsin",2006,"51,692"
"Wyoming",2006,"47,041"
"United States",2005,"46,326"
"Alabama",2005,"37,150"
"Alaska",2005,"55,891"
"Arizona",2005,"45,245"
"Arkansas",2005,"36,658"
"California",2005,"51,755"
"Colorado",2005,"50,449"
"Connecticut",2005,"56,835"
"Delaware",2005,"51,235"
"District of Columbia",2005,"44,993"
"Florida",2005,"42,990"
"Georgia",2005,"45,926"
"Hawaii",2005,"59,586"
"Idaho",2005,"44,176"
"Illinois",2005,"48,398"
"Indiana",2005,"42,437"
"Iowa",2005,"46,500"
"Kansas",2005,"42,027"
"Kentucky",2005,"36,699"
"Louisiana",2005,"37,236"
"Maine",2005,"43,923"
"Maryland",2005,"60,512"
"Massachusetts",2005,"56,017"
"Michigan",2005,"45,933"
"Minnesota",2005,"54,215"
"Mississippi",2005,"32,875"
"Missouri",2005,"42,986"
"Montana",2005,"37,313"
"Nebraska",2005,"47,923"
"Nevada",2005,"48,209"
"New Hampshire",2005,"56,984"
"New Jersey",2005,"63,368"
"New Mexico",2005,"38,947"
"New York",2005,"47,176"
"North Carolina",2005,"42,056"
"North Dakota",2005,"42,192"
"Ohio",2005,"44,203"
"Oklahoma",2005,"37,645"
"Oregon",2005,"44,159"
"Pennsylvania",2005,"46,300"
"Rhode Island",2005,"49,484"
"South Carolina",2005,"40,230"
"South Dakota",2005,"43,151"
"Tennessee",2005,"39,406"
"Texas",2005,"41,422"
"Utah",2005,"54,813"
"Vermont",2005,"50,704"
"Virginia",2005,"51,914"
"Washington",2005,"50,646"
"West Virginia",2005,"36,445"
"Wisconsin",2005,"44,650"
"Wyoming",2005,"44,718"
"United States",2004,"44,334"
"Alabama",2004,"36,629"
"Alaska",2004,"55,063"
"Arizona",2004,"43,846"
"Arkansas",2004,"34,984"
"California",2004,"49,222"
"Colorado",2004,"50,886"
"Connecticut",2004,"55,100"
"Delaware",2004,"48,049"
"District of Columbia",2004,"43,451"
"Florida",2004,"40,535"
"Georgia",2004,"40,984"
"Hawaii",2004,"56,242"
"Idaho",2004,"44,358"
"Illinois",2004,"46,077"
"Indiana",2004,"42,329"
"Iowa",2004,"43,391"
"Kansas",2004,"41,066"
"Kentucky",2004,"35,610"
"Louisiana",2004,"36,429"
"Maine",2004,"41,329"
"Maryland",2004,"57,103"
"Massachusetts",2004,"52,019"
"Michigan",2004,"42,256"
"Minnesota",2004,"56,104"
"Mississippi",2004,"34,755"
"Missouri",2004,"42,137"
"Montana",2004,"33,956"
"Nebraska",2004,"43,786"
"Nevada",2004,"47,204"
"New Hampshire",2004,"56,815"
"New Jersey",2004,"55,275"
"New Mexico",2004,"39,562"
"New York",2004,"44,649"
"North Carolina",2004,"40,238"
"North Dakota",2004,"39,220"
"Ohio",2004,"43,055"
"Oklahoma",2004,"39,614"
"Oregon",2004,"40,994"
"Pennsylvania",2004,"44,106"
"Rhode Island",2004,"47,935"
"South Carolina",2004,"38,691"
"South Dakota",2004,"41,107"
"Tennessee",2004,"38,072"
"Texas",2004,"41,397"
"Utah",2004,"50,871"
"Vermont",2004,"47,329"
"Virginia",2004,"51,141"
"Washington",2004,"49,922"
"West Virginia",2004,"33,373"
"Wisconsin",2004,"45,732"
"Wyoming",2004,"45,397"
"United States",2003,"43,318"
"Alabama",2003,"37,255"
"Alaska",2003,"51,837"
"Arizona",2003,"41,166"
"Arkansas",2003,"32,002"
"California",2003,"49,300"
"Colorado",2003,"49,940"
"Connecticut",2003,"54,965"
"Delaware",2003,"49,019"
"District of Columbia",2003,"45,044"
"Florida",2003,"38,972"
"Georgia",2003,"42,438"
"Hawaii",2003,"51,834"
"Idaho",2003,"42,372"
"Illinois",2003,"45,153"
"Indiana",2003,"42,425"
"Iowa",2003,"41,384"
"Kansas",2003,"44,232"
"Kentucky",2003,"36,936"
"Louisiana",2003,"33,507"
"Maine",2003,"37,113"
"Maryland",2003,"52,314"
"Massachusetts",2003,"50,955"
"Michigan",2003,"45,022"
