STATE,YEAR,ENROLL,TOTAL_REVENUE,TOTAL_EXPENDITURE
New Jersey,2005,1368959,23026334,23023365
New Mexico,2005,326102,2982991,3011696
New York,2005,2816426,43936450,45086872
North Carolina,2005,1347177,11098165,10917913
North Dakota,2005,100413,969520,985502
Ohio,2005,1778784,19746239,19785561
Oklahoma,2005,629145,4892548,4785987
Oregon,2005,550502,5022050,5597579
Pennsylvania,2005,1755560,22657782,23183924
Rhode Island,2005,153596,1903472,1790591
South Carolina,2005,701176,6337711,6572191
South Dakota,2005,124862,1053504,1059303
Tennessee,2005,940769,6806262,7067521
Texas,2005,4334611,37783715,40302144
Utah,2005,488055,3181279,3188018
Vermont,2005,92819,1628681,1634534
Virginia,2005,1203697,12182657,12385157
Washington,2005,1019925,9141383,9399603
West Virginia,2005,279456,2701056,2698703
Wisconsin,2005,869301,9584108,9433502
Wyoming,2005,84146,1132160,1033603
